Organism,Phylum,GC_Content_pct,Hybrid_Type,Motif_1,Motif_2,Count,Density_per_Mb
Buchnera aphidicola,Proteobacteria,18.3,Curved_DNA_Slipped_DNA_Overlap,Curved,DNA,9,19.91
Buchnera aphidicola,Proteobacteria,18.3,Slipped_DNA_Curved_DNA_Overlap,Slipped,DNA,7,15.48
Buchnera aphidicola,Proteobacteria,18.3,Curved_DNA_Cruciform_Overlap,Curved,DNA,1,2.21
Buchnera aphidicola,Proteobacteria,18.3,Triplex_Slipped_DNA_Overlap,Triplex,Slipped,1,2.21
Candidatus Carsonella ruddii,Proteobacteria,17.6,Slipped_DNA_Curved_DNA_Overlap,Slipped,DNA,2,11.49
Candidatus Carsonella ruddii,Proteobacteria,17.6,Curved_DNA_Slipped_DNA_Overlap,Curved,DNA,1,5.75
Cellulomonas shaoxiangyii,Actinobacteria,75.3,G-Quadruplex_R-Loop_Overlap,G-Quadruplex,R-Loop,202,51.67
Cellulomonas shaoxiangyii,Actinobacteria,75.3,A-philic_DNA_G-Quadruplex_Overlap,A-philic,DNA,138,35.3
Cellulomonas shaoxiangyii,Actinobacteria,75.3,R-Loop_i-Motif_Overlap,R-Loop,i-Motif,13,3.33
Cellulomonas shaoxiangyii,Actinobacteria,75.3,G-Quadruplex_A-philic_DNA_Overlap,G-Quadruplex,A-philic,104,26.6
Cellulomonas shaoxiangyii,Actinobacteria,75.3,Slipped_DNA_G-Quadruplex_Overlap,Slipped,DNA,40,10.23
Cellulomonas shaoxiangyii,Actinobacteria,75.3,R-Loop_G-Quadruplex_Overlap,R-Loop,G-Quadruplex,74,18.93
Cellulomonas shaoxiangyii,Actinobacteria,75.3,Z-DNA_G-Quadruplex_Overlap,Z-DNA,G-Quadruplex,77,19.7
Cellulomonas shaoxiangyii,Actinobacteria,75.3,G-Quadruplex_Slipped_DNA_Overlap,G-Quadruplex,Slipped,45,11.51
Cellulomonas shaoxiangyii,Actinobacteria,75.3,Slipped_DNA_i-Motif_Overlap,Slipped,DNA,12,3.07
Cellulomonas shaoxiangyii,Actinobacteria,75.3,Z-DNA_R-Loop_Overlap,Z-DNA,R-Loop,17,4.35
Cellulomonas shaoxiangyii,Actinobacteria,75.3,i-Motif_G-Quadruplex_Overlap,i-Motif,G-Quadruplex,10,2.56
Cellulomonas shaoxiangyii,Actinobacteria,75.3,Slipped_DNA_Z-DNA_Overlap,Slipped,DNA,2,0.51
Cellulomonas shaoxiangyii,Actinobacteria,75.3,A-philic_DNA_R-Loop_Overlap,A-philic,DNA,17,4.35
Cellulomonas shaoxiangyii,Actinobacteria,75.3,Slipped_DNA_R-Loop_Overlap,Slipped,DNA,2,0.51
Cellulomonas shaoxiangyii,Actinobacteria,75.3,G-Quadruplex_i-Motif_Overlap,G-Quadruplex,i-Motif,12,3.07
Cellulomonas shaoxiangyii,Actinobacteria,75.3,i-Motif_A-philic_DNA_Overlap,i-Motif,A-philic,9,2.3
Cellulomonas shaoxiangyii,Actinobacteria,75.3,R-Loop_Z-DNA_Overlap,R-Loop,Z-DNA,11,2.81
Cellulomonas shaoxiangyii,Actinobacteria,75.3,G-Quadruplex_Z-DNA_Overlap,G-Quadruplex,Z-DNA,79,20.21
Cellulomonas shaoxiangyii,Actinobacteria,75.3,i-Motif_Slipped_DNA_Overlap,i-Motif,Slipped,7,1.79
Cellulomonas shaoxiangyii,Actinobacteria,75.3,R-Loop_A-philic_DNA_Overlap,R-Loop,A-philic,24,6.14
Cellulomonas shaoxiangyii,Actinobacteria,75.3,R-Loop_Slipped_DNA_Overlap,R-Loop,Slipped,8,2.05
Cellulomonas shaoxiangyii,Actinobacteria,75.3,i-Motif_R-Loop_Overlap,i-Motif,R-Loop,2,0.51
Cellulomonas shaoxiangyii,Actinobacteria,75.3,G-Quadruplex_Cruciform_Overlap,G-Quadruplex,Cruciform,2,0.51
Cellulomonas shaoxiangyii,Actinobacteria,75.3,A-philic_DNA_i-Motif_Overlap,A-philic,DNA,8,2.05
Cellulomonas shaoxiangyii,Actinobacteria,75.3,Cruciform_G-Quadruplex_Overlap,Cruciform,G-Quadruplex,2,0.51
Cellulomonas shaoxiangyii,Actinobacteria,75.3,Cruciform_Z-DNA_Overlap,Cruciform,Z-DNA,1,0.26
Cellulomonas shaoxiangyii,Actinobacteria,75.3,Triplex_i-Motif_Overlap,Triplex,i-Motif,1,0.26
Cellulomonas shaoxiangyii,Actinobacteria,75.3,A-philic_DNA_Cruciform_Overlap,A-philic,DNA,1,0.26
Cellulomonas shaoxiangyii,Actinobacteria,75.3,Cruciform_A-philic_DNA_Overlap,Cruciform,A-philic,1,0.26
Miltoncostaea marina,Actinobacteria,76.2,G-Quadruplex_Slipped_DNA_Overlap,G-Quadruplex,Slipped,23,6.82
Miltoncostaea marina,Actinobacteria,76.2,G-Quadruplex_Z-DNA_Overlap,G-Quadruplex,Z-DNA,131,38.87
Miltoncostaea marina,Actinobacteria,76.2,A-philic_DNA_G-Quadruplex_Overlap,A-philic,DNA,194,57.56
Miltoncostaea marina,Actinobacteria,76.2,G-Quadruplex_A-philic_DNA_Overlap,G-Quadruplex,A-philic,189,56.08
Miltoncostaea marina,Actinobacteria,76.2,A-philic_DNA_i-Motif_Overlap,A-philic,DNA,9,2.67
Miltoncostaea marina,Actinobacteria,76.2,G-Quadruplex_R-Loop_Overlap,G-Quadruplex,R-Loop,189,56.08
Miltoncostaea marina,Actinobacteria,76.2,R-Loop_Slipped_DNA_Overlap,R-Loop,Slipped,2,0.59
Miltoncostaea marina,Actinobacteria,76.2,i-Motif_G-Quadruplex_Overlap,i-Motif,G-Quadruplex,16,4.75
Miltoncostaea marina,Actinobacteria,76.2,R-Loop_G-Quadruplex_Overlap,R-Loop,G-Quadruplex,78,23.14
Miltoncostaea marina,Actinobacteria,76.2,G-Quadruplex_Cruciform_Overlap,G-Quadruplex,Cruciform,3,0.89
Miltoncostaea marina,Actinobacteria,76.2,A-philic_DNA_R-Loop_Overlap,A-philic,DNA,29,8.6
Miltoncostaea marina,Actinobacteria,76.2,Z-DNA_G-Quadruplex_Overlap,Z-DNA,G-Quadruplex,119,35.31
Miltoncostaea marina,Actinobacteria,76.2,R-Loop_i-Motif_Overlap,R-Loop,i-Motif,8,2.37
Miltoncostaea marina,Actinobacteria,76.2,R-Loop_A-philic_DNA_Overlap,R-Loop,A-philic,28,8.31
Miltoncostaea marina,Actinobacteria,76.2,G-Quadruplex_i-Motif_Overlap,G-Quadruplex,i-Motif,15,4.45
Miltoncostaea marina,Actinobacteria,76.2,Cruciform_G-Quadruplex_Overlap,Cruciform,G-Quadruplex,5,1.48
Miltoncostaea marina,Actinobacteria,76.2,Cruciform_Slipped_DNA_Overlap,Cruciform,Slipped,1,0.3
Miltoncostaea marina,Actinobacteria,76.2,i-Motif_Slipped_DNA_Overlap,i-Motif,Slipped,7,2.08
Miltoncostaea marina,Actinobacteria,76.2,Z-DNA_R-Loop_Overlap,Z-DNA,R-Loop,11,3.26
Miltoncostaea marina,Actinobacteria,76.2,i-Motif_A-philic_DNA_Overlap,i-Motif,A-philic,17,5.04
Miltoncostaea marina,Actinobacteria,76.2,Slipped_DNA_G-Quadruplex_Overlap,Slipped,DNA,16,4.75
Miltoncostaea marina,Actinobacteria,76.2,Slipped_DNA_i-Motif_Overlap,Slipped,DNA,5,1.48
Miltoncostaea marina,Actinobacteria,76.2,Slipped_DNA_A-philic_DNA_Overlap,Slipped,DNA,2,0.59
Miltoncostaea marina,Actinobacteria,76.2,Z-DNA_Slipped_DNA_Overlap,Z-DNA,Slipped,4,1.19
Miltoncostaea marina,Actinobacteria,76.2,R-Loop_Z-DNA_Overlap,R-Loop,Z-DNA,6,1.78
Miltoncostaea marina,Actinobacteria,76.2,Cruciform_Z-DNA_Overlap,Cruciform,Z-DNA,2,0.59
Miltoncostaea marina,Actinobacteria,76.2,A-philic_DNA_Slipped_DNA_Overlap,A-philic,DNA,1,0.3
Miltoncostaea marina,Actinobacteria,76.2,Slipped_DNA_R-Loop_Overlap,Slipped,DNA,2,0.59
Miltoncostaea marina,Actinobacteria,76.2,Slipped_DNA_Z-DNA_Overlap,Slipped,DNA,1,0.3
Miltoncostaea marina,Actinobacteria,76.2,Z-DNA_Cruciform_Overlap,Z-DNA,Cruciform,1,0.3
Streptococcus pneumoniae,Firmicutes,39.7,Triplex_Curved_DNA_Overlap,Triplex,Curved,1,0.47
Streptococcus pneumoniae,Firmicutes,39.7,Triplex_G-Quadruplex_Overlap,Triplex,G-Quadruplex,1,0.47
Streptococcus pneumoniae,Firmicutes,39.7,G-Quadruplex_Triplex_Overlap,G-Quadruplex,Triplex,1,0.47
Streptococcus pneumoniae,Firmicutes,39.7,R-Loop_G-Quadruplex_Overlap,R-Loop,G-Quadruplex,2,0.95
Streptococcus pneumoniae,Firmicutes,39.7,Slipped_DNA_G-Quadruplex_Overlap,Slipped,DNA,1,0.47
Streptococcus pneumoniae,Firmicutes,39.7,Triplex_Slipped_DNA_Overlap,Triplex,Slipped,1,0.47
Streptococcus pneumoniae,Firmicutes,39.7,Curved_DNA_Slipped_DNA_Overlap,Curved,DNA,1,0.47
Escherichia coli,Proteobacteria,50.8,R-Loop_G-Quadruplex_Overlap,R-Loop,G-Quadruplex,16,3.45
Escherichia coli,Proteobacteria,50.8,Triplex_R-Loop_Overlap,Triplex,R-Loop,1,0.22
Escherichia coli,Proteobacteria,50.8,G-Quadruplex_R-Loop_Overlap,G-Quadruplex,R-Loop,20,4.31
Escherichia coli,Proteobacteria,50.8,G-Quadruplex_Z-DNA_Overlap,G-Quadruplex,Z-DNA,6,1.29
Escherichia coli,Proteobacteria,50.8,R-Loop_Z-DNA_Overlap,R-Loop,Z-DNA,2,0.43
Escherichia coli,Proteobacteria,50.8,Triplex_A-philic_DNA_Overlap,Triplex,A-philic,1,0.22
Escherichia coli,Proteobacteria,50.8,Triplex_G-Quadruplex_Overlap,Triplex,G-Quadruplex,2,0.43
Escherichia coli,Proteobacteria,50.8,Curved_DNA_G-Quadruplex_Overlap,Curved,DNA,3,0.65
Escherichia coli,Proteobacteria,50.8,i-Motif_R-Loop_Overlap,i-Motif,R-Loop,2,0.43
Escherichia coli,Proteobacteria,50.8,A-philic_DNA_R-Loop_Overlap,A-philic,DNA,2,0.43
Escherichia coli,Proteobacteria,50.8,A-philic_DNA_G-Quadruplex_Overlap,A-philic,DNA,2,0.43
Escherichia coli,Proteobacteria,50.8,Z-DNA_G-Quadruplex_Overlap,Z-DNA,G-Quadruplex,4,0.86
Escherichia coli,Proteobacteria,50.8,G-Quadruplex_Curved_DNA_Overlap,G-Quadruplex,Curved,5,1.08
Escherichia coli,Proteobacteria,50.8,R-Loop_A-philic_DNA_Overlap,R-Loop,A-philic,3,0.65
Escherichia coli,Proteobacteria,50.8,i-Motif_A-philic_DNA_Overlap,i-Motif,A-philic,1,0.22
Escherichia coli,Proteobacteria,50.8,Slipped_DNA_Triplex_Overlap,Slipped,DNA,1,0.22
Escherichia coli,Proteobacteria,50.8,R-Loop_Triplex_Overlap,R-Loop,Triplex,1,0.22
Escherichia coli,Proteobacteria,50.8,G-Quadruplex_Triplex_Overlap,G-Quadruplex,Triplex,1,0.22
Escherichia coli,Proteobacteria,50.8,R-Loop_Curved_DNA_Overlap,R-Loop,Curved,1,0.22
Escherichia coli,Proteobacteria,50.8,Curved_DNA_R-Loop_Overlap,Curved,DNA,1,0.22
Escherichia coli,Proteobacteria,50.8,R-Loop_i-Motif_Overlap,R-Loop,i-Motif,2,0.43
Escherichia coli,Proteobacteria,50.8,R-Loop_Cruciform_Overlap,R-Loop,Cruciform,1,0.22
Mycobacterium tuberculosis,Actinobacteria,65.6,G-Quadruplex_R-Loop_Overlap,G-Quadruplex,R-Loop,158,35.82
Mycobacterium tuberculosis,Actinobacteria,65.6,R-Loop_G-Quadruplex_Overlap,R-Loop,G-Quadruplex,106,24.03
Mycobacterium tuberculosis,Actinobacteria,65.6,R-Loop_A-philic_DNA_Overlap,R-Loop,A-philic,19,4.31
Mycobacterium tuberculosis,Actinobacteria,65.6,G-Quadruplex_Z-DNA_Overlap,G-Quadruplex,Z-DNA,18,4.08
Mycobacterium tuberculosis,Actinobacteria,65.6,G-Quadruplex_i-Motif_Overlap,G-Quadruplex,i-Motif,6,1.36
Mycobacterium tuberculosis,Actinobacteria,65.6,G-Quadruplex_Slipped_DNA_Overlap,G-Quadruplex,Slipped,17,3.85
Mycobacterium tuberculosis,Actinobacteria,65.6,Slipped_DNA_G-Quadruplex_Overlap,Slipped,DNA,28,6.35
Mycobacterium tuberculosis,Actinobacteria,65.6,R-Loop_Slipped_DNA_Overlap,R-Loop,Slipped,4,0.91
Mycobacterium tuberculosis,Actinobacteria,65.6,A-philic_DNA_G-Quadruplex_Overlap,A-philic,DNA,49,11.11
Mycobacterium tuberculosis,Actinobacteria,65.6,R-Loop_Z-DNA_Overlap,R-Loop,Z-DNA,6,1.36
Mycobacterium tuberculosis,Actinobacteria,65.6,Z-DNA_G-Quadruplex_Overlap,Z-DNA,G-Quadruplex,27,6.12
Mycobacterium tuberculosis,Actinobacteria,65.6,G-Quadruplex_A-philic_DNA_Overlap,G-Quadruplex,A-philic,55,12.47
Mycobacterium tuberculosis,Actinobacteria,65.6,i-Motif_A-philic_DNA_Overlap,i-Motif,A-philic,3,0.68
Mycobacterium tuberculosis,Actinobacteria,65.6,i-Motif_G-Quadruplex_Overlap,i-Motif,G-Quadruplex,7,1.59
Mycobacterium tuberculosis,Actinobacteria,65.6,Z-DNA_R-Loop_Overlap,Z-DNA,R-Loop,4,0.91
Mycobacterium tuberculosis,Actinobacteria,65.6,G-Quadruplex_Curved_DNA_Overlap,G-Quadruplex,Curved,2,0.45
Mycobacterium tuberculosis,Actinobacteria,65.6,R-Loop_i-Motif_Overlap,R-Loop,i-Motif,3,0.68
Mycobacterium tuberculosis,Actinobacteria,65.6,Curved_DNA_G-Quadruplex_Overlap,Curved,DNA,2,0.45
Mycobacterium tuberculosis,Actinobacteria,65.6,Slipped_DNA_R-Loop_Overlap,Slipped,DNA,5,1.13
Mycobacterium tuberculosis,Actinobacteria,65.6,Z-DNA_Slipped_DNA_Overlap,Z-DNA,Slipped,4,0.91
Mycobacterium tuberculosis,Actinobacteria,65.6,A-philic_DNA_R-Loop_Overlap,A-philic,DNA,15,3.4
Mycobacterium tuberculosis,Actinobacteria,65.6,A-philic_DNA_i-Motif_Overlap,A-philic,DNA,2,0.45
Mycobacterium tuberculosis,Actinobacteria,65.6,Cruciform_G-Quadruplex_Overlap,Cruciform,G-Quadruplex,1,0.23
Mycobacterium tuberculosis,Actinobacteria,65.6,i-Motif_Slipped_DNA_Overlap,i-Motif,Slipped,4,0.91
Mycobacterium tuberculosis,Actinobacteria,65.6,i-Motif_R-Loop_Overlap,i-Motif,R-Loop,2,0.45
Staphylococcus aureus,Firmicutes,32.9,R-Loop_Triplex_Overlap,R-Loop,Triplex,1,0.35
Staphylococcus aureus,Firmicutes,32.9,Slipped_DNA_A-philic_DNA_Overlap,Slipped,DNA,1,0.35
Staphylococcus aureus,Firmicutes,32.9,G-Quadruplex_Slipped_DNA_Overlap,G-Quadruplex,Slipped,1,0.35
